ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Certainty,Year
43,Arapaho,Pron1P,3,,Singular - plural excl y plural incl; bound forms as affixes - but huge variation that does not permit a clear systematization; much of the variation depends on grammatical roles / Se consignan las formas ligadas presentadas en el afijario de la descripción. La variación interna de cada una de las formas en función a la semántica del verbo es sumamente confusa: no permite una sistematización clara. Además - muchas de estas variaciones se deben a la función gramatical que cumplen.,arapaho1963[134],1,1963
44,Arapaho,Pron1P,4,,No free forms in Arapaho - El arapaho no presenta formas libres. El primer dígito corresponde a las formas sufijadas a los verbos animados intransitivos. El número de los paréntesis corresponde a las formas  sufijadas a los verbos inanimados transitivos. Los verbos animados trnasitivos utilizan morfemas de transición.,arapaho2008[76],2,2008
45,Arapaho,Pron2P,2,,SG/PL - no free pronouns / Singular y plural; La lengua no presenta pronombres libres.,arapaho1963[134],1,1963
46,Arapaho,Pron2P,2,,No free forms in Arapaho – El arapaho no presenta formas libres. El primer dígito corresponde a las formas sufijadas a los verbos animados intransitivos. El número de los paréntesis corresponde a las formas  sufijadas a los verbos inanimados transitivos. Los verbos animados trnasitivos utilizan morfemas de transición.,arapaho2008[76],2,2008
47,Arapaho,Pron3P,2,,SG/PL - no free pronouns / Singular y plural; La lengua no presenta pronombres libres.,arapaho1963[134],1,1963
48,Arapaho,Pron3P,4,,Various forms for third person are considered e.g an obviative // Se incluyen - además de lo mencionado para las dos primeras personas - las formas de la tercera persona obviativa luego de la barra angulada.,arapaho2008[76],2,2008
49,Arapaho,PronAlign,0,,No pronouns // La lengua no presenta pronombres.,arapaho2008,NA,2008
50,Arapaho,PronAlign,NA,,No pronouns //  La lengua no presenta pronombres.,arapaho1963,NA,1963
51,Arapaho,Questions,1,,,arapaho1963[111],2,1963
52,Arapaho,Questions,1,,,arapaho2008[107],2,2008
53,Arapaho,TA_marks,3,,Past - narrative - future,arapaho1963[134],1,1963
54,Arapaho,TA_marks,5,,three tense and two aspect,arapaho2008[265],2,2008
55,Arapaho,TempLoc,1,,Locative marked through bound form - but there seems to be a free particle with temporal locative function – El locativo general se marca con una forma ligada. Sin embargo - existe una partícula libre glosada como 'now' que parece cumplir la función de locativo temporal.,arapaho1963[158],1,1963
56,Arapaho,TempLoc,1,,,arapaho2008[217],2,2008
57,Arapaho,Tones,0,,,arapaho1963,NA,1963
58,Arapaho,Tones,0,,,arapaho2008,NA,2008
59,Arapaho,VP_Agr,1,,,arapaho1963[92],1,1963
60,Arapaho,VP_Agr,1,,,arapaho2008[59],2,2008
61,Arapaho,Vowels,4,,,arapaho1963[12],2,1963
62,Arapaho,Vowels,4,,Short and long realizations – Hay realizaciones breves y largas.,arapaho2008[14],2,2008
63,Bardi,AdjN,Adj N,,Not conclusive - based on examples,bardi1975[117],1,1975
64,Bardi,AdjN,both,,sometimes N ADJ is judged ungrammatical,bardi2012[335],2,2012
65,Bardi,BasicWO,VSO,,,bardi1975,2,1975
66,Bardi,BasicWO,no basic word order,,,bardi2012[165],2,2012
67,Bardi,CA_case,1,,,bardi1975[82],2,1975
68,Bardi,CA_case,1,,,bardi2012[195-196],2,2012
69,Bardi,CA_head,0,,,bardi2012[195-196],2,2012
70,Bardi,CA_head,NA,,,bardi1975,NA,1975
71,Bardi,CA_wordorder,0,,,bardi2012[195-196],2,2012
72,Bardi,CA_wordorder,1,,,bardi1975,NA,1975
73,Bardi,Cases,4,,,bardi1975[72],1,1975
74,Bardi,Cases,14,,,bardi2012[195-230],2,2012
75,Bardi,ClassGen,0,,,bardi1975,NA,1975
76,Bardi,ClassGen,0,,,bardi2012,NA,2012
77,Bardi,ClassNoun,1,,,bardi1975[123],2,1975
78,Bardi,ClassNoun,1,,,bardi2012[754],2,2012
79,Bardi,ClassNum,1,,,bardi1975[186],2,1975
80,Bardi,ClassNum,1,,,bardi2012,NA,2012
81,Bardi,Consonants,17,,,bardi1975[17],2,1975
82,Bardi,Consonants,17,,,bardi2012[71],2,2012
83,Bardi,Dem,13,,,bardi2012[195-322],2,2012
84,Bardi,Dem,NA,,,bardi1975,NA,1975
85,Bardi,DitransMarking,0,,No ditransitive verbs // No hay verbos propiamente ditransitivos. Los verbos como 'dar' y 'mostrar' solo marcan un argumento.,bardi2012[211/370],2,2012
86,Bardi,DitransMarking,NA,,,bardi1975,NA,1975
87,Bardi,Evid,NA,,not discussed,bardi1975,NA,1975
88,Bardi,Evid,NA,,,bardi2012,NA,2012
89,Bardi,GenN,both,,Inference based on examples – Inferencia a partir de ejemplos,bardi2012,2,2012
90,Bardi,GenN,NA,,unconclusive data,bardi1975,NA,1975
91,Bardi,InstrCom,1,,,bardi1975[18],2,1975
92,Bardi,InstrCom,1,,,bardi2012[211/242],2,2012
93,Bardi,LocDir,1,,,bardi1975[189],2,1975
94,Bardi,LocDir,1,,,bardi2012[211/237],2,2012
95,Bardi,MorphCaus,1,,,bardi1975[70],2,1975
96,Bardi,MorphCaus,1,,,bardi2012[204],2,2012
97,Bardi,NP_Agr,0,,unconclusive data,bardi1975,1,1975
98,Bardi,NP_Agr,0,,,bardi2012[158],2,2012
99,Bardi,NasVowels,0,,,bardi1975,NA,1975
100,Bardi,NasVowels,0,,,bardi2012,NA,2012
101,Bardi,NomAlign,ergative-absolutive,,,bardi1975[82],2,1975
102,Bardi,NomAlign,ergative-absolutive,,Ergativo -nim - Absolutivo not marked.,bardi2012[195-196],2,2012
103,Bardi,Poss,1,,,bardi2012[153],2,2012
104,Bardi,Poss,NA,,,bardi1975,NA,1975
105,Bardi,Pron1P,7,,free and bound forms – Formas libres  y ligadas,bardi1975[72/123],1,1975
106,Bardi,Pron1P,7,,Free and bound forms; the latter have number distinctions // Se incluyen las formas libres y ligadas. Para las últimas se considera la diferencia entre aumentativo (tipo de plural) y mínimo.,bardi2012[396],2,2012
107,Bardi,Pron2P,4,,free and bound forms – Formas libres  y ligadas,bardi1975[72],1,1975
108,Bardi,Pron2P,7,,,bardi2012[396],2,2012
109,Bardi,Pron3P,4,,free and bound forms – Formas libres  y ligadas,bardi1975[72],1,1975
110,Bardi,Pron3P,6,,,bardi2012[396],2,2012
111,Bardi,PronAlign,ergative-absolutive,,Author stats that pronouns are not marked - the examples clearly show ergative markers on them,bardi1975[82],2,1975
112,Bardi,PronAlign,ergative-absolutive,,Ergativo -nim - Absolutivo not marked.,bardi2012[195-196],2,2012
113,Bardi,Questions,1,,,bardi1975[184],2,1975
114,Bardi,Questions,1,,,bardi2012[617],NA,2012
115,Bardi,TA_marks,6,,Only suffixes listed in affix-list are considered - not all are discussed in the grammar // Se consideran los sufijos listados en el afijario. No necesariamente todos presentan un tratamiento en la gramática.,bardi1975[82],2,1975
116,Bardi,TA_marks,6,,,bardi2012[195-436],2,2012
117,Bardi,TempLoc,NA,,,bardi1975,NA,1975
118,Bardi,TempLoc,NA,,,bardi2012,NA,2012
119,Bardi,Tones,0,,,bardi1975,NA,1975
120,Bardi,Tones,0,,,bardi2012,NA,2012
121,Bardi,VP_Agr,0,,inference based on examples – Inferencia a partir de ejemplos.,bardi1975,1,1975
122,Bardi,VP_Agr,1,,,bardi2012[370],2,2012
123,Bardi,Vowels,7,,Long vowels are included // Se incluyen las vocales largas.,bardi1975[17],2,1975
124,Bardi,Vowels,7,,,bardi2012[71],2,2012
125,Baure,AdjN,both,,,baure2007[104],2,2007
126,Baure,AdjN,NA,,,baure1880,NA,1880
127,Baure,BasicWO,VSO,,Changes in narrations to VOS with human arguments – En narrativa - cambia a VOS cuando hay un argumento humano o inanimado,baure2007[333],2,2007
128,Baure,BasicWO,NA,,,baure1880,NA,1880
129,Baure,CA_case,0,,,baure1880[56],2,1880
130,Baure,CA_case,1,,,baure2007[116],2,2007
131,Baure,CA_head,1,,,baure2007[174-176],2,2007
132,Baure,CA_head,NA,,,baure1880,NA,1880
133,Baure,CA_wordorder,1,,,baure1880,NA,1880
134,Baure,CA_wordorder,1,,,baure2007[333],2,2007
135,Baure,Cases,0,,,baure1880[56],2,1880
136,Baure,Cases,0,,,baure2007[116],2,2007
137,Baure,ClassGen,0,,,baure1880,NA,1880
138,Baure,ClassGen,0,,,baure2007,NA,2007
139,Baure,ClassNoun,1,,,baure1880[2],2,1880
140,Baure,ClassNoun,1,,,baure2007[116  y 127],2,2007
141,Baure,ClassNum,0,,,baure1880,NA,1880
142,Baure,ClassNum,1,,,baure2007[139],2,2007
143,Baure,Consonants,13,,Mentions that situation of glottal stop is unclear - and does not count it // Mencionan que la glotal es un caso crítico - así que no la cuento,baure2007[39],2,2007
144,Baure,Consonants,NA,,,baure1880,NA,1880
145,Baure,Dem,7,,,baure2007[312-316],2,2007
146,Baure,Dem,10,,,baure1880[3],2,1880
147,Baure,DitransMarking,0,,,baure2007[336],2,2007
148,Baure,DitransMarking,NA,,,baure1880,NA,1880
149,Baure,Evid,1,,,baure2007[376],2,2007
150,Baure,Evid,NA,,,baure1880,NA,1880
151,Baure,GenN,N Gen,,,baure2007[126],2,2007
152,Baure,GenN,NA,,,baure1880,NA,1880
153,Baure,InstrCom,NA,,,baure1880,NA,1880
154,Baure,InstrCom,NA,,,baure2007,NA,2007
155,Baure,LocDir,1,,,baure2007[86],2,2007
156,Baure,LocDir,NA,,,baure1880,NA,1880
157,Baure,MorphCaus,1,,,baure2007[217],2,2007
158,Baure,MorphCaus,NA,,,baure1880,NA,1880
159,Baure,NP_Agr,0,,,baure1880[2],1,1880
160,Baure,NP_Agr,1,,Through classifier,baure2007[157],2,2007
161,Baure,NasVowels,0,,,baure2007[33],2,2007
162,Baure,NasVowels,NA,,,baure1880,NA,1880
163,Baure,NomAlign,neuter,,,baure1880[56],2,1880
164,Baure,NomAlign,nominative-accusative,,,baure2007[116],2,2007
165,Baure,Poss,0,,,baure2007[31],2,2007
166,Baure,Poss,NA,,,baure1880,NA,1880
167,Baure,Pron1P,2,,,baure2007[319],2,2007
168,Baure,Pron1P,4,,,baure1880[56],2,1880
169,Baure,Pron2P,2,,,baure2007[319],2,2007
170,Baure,Pron2P,4,,,baure1880[56],2,1880
171,Baure,Pron3P,3,,,baure2007[319],2,2007
172,Baure,Pron3P,6,,,baure1880[3],2,1880
173,Baure,PronAlign,neuter,,,baure1880[56],2,1880
174,Baure,PronAlign,neuter,,,baure2007[319],2,2007
175,Baure,Questions,1,,,baure2007[349],2,2007
176,Baure,Questions,NA,,,baure1880,NA,1880
177,Baure,TA_marks,4,,,"baure1880[68,70]",2,1880
178,Baure,TA_marks,9,,,baure2007[218],2,2007
179,Baure,TempLoc,NA,,,baure1880,NA,1880
180,Baure,TempLoc,NA,,,baure2007,NA,2007
181,Baure,Tones,0,,,baure2007[33],2,2007
182,Baure,Tones,NA,,,baure1880,NA,1880
183,Baure,VP_Agr,1,,,baure2007[175],2,2007
184,Baure,VP_Agr,NA,,,baure1880,NA,1880
185,Baure,Vowels,4,,,baure2007[33],2,2007
186,Baure,Vowels,NA,,,baure1880,NA,1880
187,Carijona,AdjN,Adj N,,,carijona1908[958],2,1908
188,Carijona,AdjN,NA,,not discussed and no examples,carijona2000,NA,2000
189,Carijona,BasicWO,SOV,,SOV - sometimes OVS,carijona1908[955],2,1908
190,Carijona,BasicWO,SOV,,OV at the center of typology in this language - Subject can vary to some degree,carijona2000[ 174],2,2000
191,Carijona,CA_case,0,,no case marking,carijona1908[955],2,1908
192,Carijona,CA_case,0,,,carijona2000[ 173],2,2000
193,Carijona,CA_head,1,,Ergativo,carijona1908[976],2,1908
194,Carijona,CA_head,1,,Switch to Nom-Acc in most persons,carijona2000[ 173],2,2000
195,Carijona,CA_wordorder,0,,cross-referencing,carijona1908[955],2,1908
196,Carijona,CA_wordorder,0,,OV as basic order,carijona2000[ 175],2,2000
197,Carijona,Cases,0,,“No hay caso” / “there is no case” - but he gives a list of oblique postpositiones,carijona1908[959],1,1908
198,Carijona,Cases,2,,only dative and comitative as bound forms: “Las demás postposiciones parecen no participar de la prefija­ción de morfemas de persona. “,carijona2000[ 175],2,2000
199,Carijona,ClassGen,0,,No marking of possession,carijona1908,2,1908
200,Carijona,ClassGen,0,,,carijona2000,1,2000
201,Carijona,ClassNoun,1,,“no hay evidencia de genéro” / “there is no evidence of gender” – and then gives various examples of noun classifiers; possibly compounds?,carijona1908[957],1,1908
202,Carijona,ClassNoun,1,,Grammatical process for noun determination - modificating its reference - “ Los procesosgramaticales propios del nombre son los de determinación. Ladeterminación permite a un nombre modificar su referencia; puedeasí remitir a la generalidad la clase de las entidades que denota -hasta llegar a referir a una sola entidad dentro de la clase.”,carijona2000[ 174],1,2000
203,Carijona,ClassNum,0,,,carijona1908,2,1908
204,Carijona,ClassNum,0,,,carijona2000,2,2000
205,Carijona,Consonants,14,,/ d / lost - for others there are phonological rules which do not count as distinctive features,carijona2000[ 172],2,2000
206,Carijona,Consonants,20,,18 + 2 glides,carijona1908[90],1,1908
207,Carijona,Dem,2,,,carijona1908[972],2,1908
208,Carijona,Dem,NA,,not mentioned,carijona2000,NA,2000
209,Carijona,DitransMarking,1,,postpositions for beneficiary,carijona1908[960],2,1908
210,Carijona,DitransMarking,1,,dative (-dza),carijona2000[ 175],2,2000
211,Carijona,Evid,0,,not discussed,carijona1908,NA,1908
212,Carijona,Evid,0,,not discussed,carijona2000,NA,2000
213,Carijona,GenN,Gen N,,Unmarked - modifier-head // Sin marca - pero es “Modificador – Head”,carijona1908[955],2,1908
214,Carijona,GenN,NA,,No comment,carijona2000,NA,2000
215,Carijona,InstrCom,1,,Comitativo: -mate; Instrumental: -ke,carijona1908[961],2,1908
216,Carijona,InstrCom,1,,,carijona2000[ 175],2,2000
217,Carijona,LocDir,1,,,carijona1908[959],2,1908
218,Carijona,LocDir,1,,,carijona2000[ 175],2,2000
219,Carijona,MorphCaus,0,,No comment,carijona1908,NA,1908
220,Carijona,MorphCaus,1,,two forms exist,carijona2000[ 174],2,2000
221,Carijona,NP_Agr,NA,,no Adj-N constructions with plural,carijona1908,NA,1908
222,Carijona,NP_Agr,NA,,no adjectives mentioned in text,carijona2000,NA,2000
223,Carijona,NasVowels,0,,not mentioned,carijona2000[ 172],1,2000
224,Carijona,NasVowels,5,,“las nasalizaciones son escasaz” / “scarce nasalizations”,carijona1908[89],2,1908
225,Carijona,NomAlign,neuter,,erg-abs lost on the verbal marking,carijona1908[976],2,1908
226,Carijona,NomAlign,neuter,,only marked on verb,carijona2000[ 173],2,2000
227,Carijona,Poss,1,,“a punto de perderse” / “at the point of being lost”,carijona1908[970],2,1908
228,Carijona,Poss,1,,Not lost,carijona2000[ 175],2,2000
229,Carijona,Pron1P,2,,Incl/excl not discussed / no informa sobre inclusivo/exclusivo,carijona1908[ 969],1,1908
230,Carijona,Pron1P,3,,inclusive/exclusive form - but none for 2pl,carijona2000[ 174],1,2000
231,Carijona,Pron2P,1,,Some confusion in Koch-Grünberg // Las formas de 2pl de Koch-Grünberg y de 1excl. tienen cierta correspondencia - probablemente la misma forma,carijona2000[ 174],1,2000
232,Carijona,Pron2P,2,,,carijona1908[ 969],1,1908
233,Carijona,Pron3P,2,,,carijona1908[ 969],2,1908
234,Carijona,Pron3P,2,,,carijona2000[ 174],2,2000
235,Carijona,PronAlign,neuter,,only cross-referencing,carijona1908[976],2,1908
236,Carijona,PronAlign,neuter,,same form for both Nom-Acc,carijona2000[ 173],2,2000
237,Carijona,Questions,NA,,not discussed,carijona1908,NA,1908
238,Carijona,Questions,NA,,not discussed,carijona2000,NA,2000
239,Carijona,TA_marks,6,,-he - -ta - -ka - -ne - -i - t...-se,carijona1908[973],2,1908
240,Carijona,TA_marks,6,,no holistic list but additional cases (those of Koch-Grünberg) in appendix text,carijona2000[ 177],2,2000
241,Carijona,TempLoc,NA,,not discussed,carijona1908,NA,1908
242,Carijona,TempLoc,NA,,not mentioned,carijona2000,NA,2000
243,Carijona,Tones,0,,No comment,carijona1908,NA,1908
244,Carijona,Tones,0,,No comment,carijona2000,NA,2000
245,Carijona,VP_Agr,1,,,carijona1908[973],2,1908
246,Carijona,VP_Agr,1,,,carijona2000[ 173],2,2000
247,Carijona,Vowels,7,,phonological rules which explain the difference - except for /d/ - which is lost,carijona2000[ 172],2,2000
248,Carijona,Vowels,13,,counting nasal vowels,carijona1908[89],1,1908
249,CentralOkinawa,AdjN,N Adj,,,okinawa2015[387],2,2015
250,CentralOkinawa,AdjN,NA,,,okinawa1963,NA,1963
251,CentralOkinawa,BasicWO,SOV,,Examples indicate a nom-acc system,okinawa2015,1,2015
252,CentralOkinawa,BasicWO,NA,,,okinawa1963,NA,1963
253,CentralOkinawa,CA_case,1,,,okinawa2015[391],2,2015
254,CentralOkinawa,CA_case,NA,,,okinawa1963,NA,1963
255,CentralOkinawa,CA_head,0,,,okinawa2015[391],2,2015
256,CentralOkinawa,CA_head,NA,,,okinawa1963,NA,1963
257,CentralOkinawa,CA_wordorder,1,,Examples indicate a nom-acc system,okinawa2015,1,2015
258,CentralOkinawa,CA_wordorder,NA,,,okinawa1963,NA,1963
259,CentralOkinawa,Cases,NA,,,okinawa1963,NA,1963
260,CentralOkinawa,Cases,NA,,,okinawa2015,NA,2015
261,CentralOkinawa,ClassGen,0,,,okinawa1963,NA,1963
262,CentralOkinawa,ClassGen,0,,,okinawa2015,NA,2015
263,CentralOkinawa,ClassNoun,0,,,okinawa2015,NA,2015
264,CentralOkinawa,ClassNoun,1,,,okinawa1963[113],2,1963
265,CentralOkinawa,ClassNum,0,,,okinawa1963,NA,1963
266,CentralOkinawa,ClassNum,0,,,okinawa2015,NA,2015
267,CentralOkinawa,Consonants,19,,,okinawa2015[379],2,2015
268,CentralOkinawa,Consonants,24,,,okinawa1963[5],2,1963
269,CentralOkinawa,Dem,NA,,,okinawa1963,NA,1963
270,CentralOkinawa,Dem,NA,,,okinawa2015,NA,2015
271,CentralOkinawa,DitransMarking,NA,,,okinawa1963,NA,1963
272,CentralOkinawa,DitransMarking,NA,,,okinawa2015,NA,2015
273,CentralOkinawa,Evid,2,,,okinawa2015[398],2,2015
274,CentralOkinawa,Evid,NA,,,okinawa1963,NA,1963
275,CentralOkinawa,GenN,Gen N,,,okinawa2015[387],2,2015
276,CentralOkinawa,GenN,NA,,,okinawa1963,NA,1963
277,CentralOkinawa,InstrCom,NA,,,okinawa1963,NA,1963
278,CentralOkinawa,InstrCom,NA,,,okinawa2015,NA,2015
279,CentralOkinawa,LocDir,NA,,,okinawa1963,NA,1963
280,CentralOkinawa,LocDir,NA,,,okinawa2015,NA,2015
281,CentralOkinawa,MorphCaus,1,,,okinawa1963[169],2,1963
282,CentralOkinawa,MorphCaus,1,,,okinawa2015[397],2,2015
283,CentralOkinawa,NP_Agr,0,,,okinawa2015[387-388],2,2015
284,CentralOkinawa,NP_Agr,NA,,,okinawa1963,NA,1963
285,CentralOkinawa,NasVowels,0,,,okinawa1963[5],2,1963
286,CentralOkinawa,NasVowels,0,,,okinawa2015[379],2,2015
287,CentralOkinawa,NomAlign,nominative-accusative,,,okinawa2015[391],2,2015
288,CentralOkinawa,NomAlign,NA,,,okinawa1963,NA,1963
289,CentralOkinawa,Poss,NA,,,okinawa1963,NA,1963
290,CentralOkinawa,Poss,NA,,,okinawa2015,NA,2015
291,CentralOkinawa,Pron1P,2,,,okinawa1963[105],2,1963
292,CentralOkinawa,Pron1P,3,,,okinawa2015[387],2,2015
293,CentralOkinawa,Pron2P,4,,,okinawa1963[105],2,1963
294,CentralOkinawa,Pron2P,4,,,okinawa2015[387],2,2015
295,CentralOkinawa,Pron3P,2,,,okinawa2015[387],2,2015
296,CentralOkinawa,Pron3P,12,,,okinawa1963[105],2,1963
297,CentralOkinawa,PronAlign,neuter,,Not marked on pronouns // Parece que no marca RG en los pronombres,okinawa1963,1,1963
298,CentralOkinawa,PronAlign,neuter,,Not marked on pronouns // Parece que no marca RG en los pronombres,okinawa2015,1,2015
299,CentralOkinawa,Questions,1,,,okinawa2015[395-396],2,2015
300,CentralOkinawa,Questions,NA,,,okinawa1963,NA,1963
301,CentralOkinawa,TA_marks,3,,,okinawa1963[60],2,1963
302,CentralOkinawa,TA_marks,4,,,okinawa2015[384-385],2,2015
303,CentralOkinawa,TempLoc,0,,Temporal locative mared through particle - El locativo temporal es una partícula,okinawa2015[391],2,2015
304,CentralOkinawa,TempLoc,NA,,,okinawa1963,NA,1963
305,CentralOkinawa,Tones,1,,,okinawa1963[7],2,1963
306,CentralOkinawa,Tones,NA,,,okinawa2015,NA,2015
307,CentralOkinawa,VP_Agr,0,,,okinawa1963[59],2,1963
308,CentralOkinawa,VP_Agr,0,,,okinawa2015[384-385],2,2015
309,CentralOkinawa,Vowels,5,,,okinawa1963[5],2,1963
310,CentralOkinawa,Vowels,6,,,okinawa2015[379],2,2015
311,Chontal,AdjN,Adj N,,"Adjectives ""usually"" precede the modified noun.",chontal2004[71],2,2004
312,Chontal,AdjN,both,,,chontal1967,1,1967
313,Chontal,BasicWO,no basic word order,,,chontal1967[357],2,1967
314,Chontal,BasicWO,no basic word order,,,chontal2004[1],2,2004
315,Chontal,CA_case,NA,,,chontal1967,NA,1967
316,Chontal,CA_case,NA,,,chontal2004,NA,2004
317,Chontal,CA_head,1,,,chontal1967[354],NA,1967
318,Chontal,CA_head,NA,,,chontal2004,NA,2004
319,Chontal,CA_wordorder,0,,Free word order – El orden de palabras es libre.,chontal2004,NA,2004
320,Chontal,CA_wordorder,NA,,,chontal1967,NA,1967
321,Chontal,Cases,0,,,chontal1967[356-358],NA,1967
322,Chontal,Cases,0,,no case marking,chontal2004[98],NA,2004
323,Chontal,ClassGen,0,,,chontal1967,1,1967
324,Chontal,ClassGen,0,,,chontal2004,1,2004
325,Chontal,ClassNoun,0,,,chontal1967,1,1967
326,Chontal,ClassNoun,0,,"lexical gender; somestimes - “man” and “woman” are used to specify gender on animates – El género suele ser léxico. A veces se usan los lexemas""hombre"" y ""mujer"" para especificar género pero no existe un mrofema dedicado a femenino - masculino o neutro.",chontal2004,1,2004
327,Chontal,ClassNum,1,,,chontal1967[357-358],1,1967
328,Chontal,ClassNum,1,,Diverse set of pluralizing strategies: infixes - intonation - suffixes - etc // Se consignan diversas estrategias pluralizadoras: infijación - acento - sufijación - etc.,chontal2004[43],2,2004
329,Chontal,Consonants,35,,,chontal1967[351],2,1967
330,Chontal,Consonants,42,,Author considers various dialects - while previous description is only one variety – La autora considera variaciones dialectales. La descripción anterior es de solo una variedad.,chontal2004[35-36],2,2004
331,Chontal,Dem,8,,Deicticts are compounded with two forms (circumfixes) - also have pronominal function // Se consigna a los deícticos como compuestos por dos partes. Aparentan ser cicunfijos. Estos deícticos tienen funciones pronominales.,chontal1967[357],1,1967
332,Chontal,Dem,8,,Demonstratives are clitics // Según la autora - los demostrativos forman parte del inventario de clíticos.,chontal2004[68],1,2004
333,Chontal,DitransMarking,0,,,chontal2004[47],1,2004
334,Chontal,DitransMarking,NA,,,chontal1967,NA,1967
335,Chontal,Evid,0,,not mentioned,chontal1967[356],1,1967
336,Chontal,Evid,1,,No forms explicitly for evidentiality // No existen formas dedicadas específicamente a la evidencialidad. Sin embargo - la lengua utiliza los verbos auxiliares en primera persona del perfectivo para codificar certeza de la información brindada.,chontal2004[82],1,2004
337,Chontal,GenN,Gen N,,,chontal1967[357],1,1967
338,Chontal,GenN,Gen N,,,chontal2004[57],2,2004
339,Chontal,InstrCom,NA,,,chontal1967,NA,1967
340,Chontal,InstrCom,NA,,,chontal2004,NA,2004
341,Chontal,LocDir,1,,,chontal1967[359],1,1967
342,Chontal,LocDir,1,,,chontal2004[64],2,2004
343,Chontal,MorphCaus,0,,Lexical,chontal1967[361],1,1967
344,Chontal,MorphCaus,1,,,chontal2004[55-56],2,2004
345,Chontal,NP_Agr,0,,,chontal1967,1,1967
346,Chontal,NP_Agr,0,,,chontal2004[72],2,2004
347,Chontal,NasVowels,0,,,chontal1967[351],2,1967
348,Chontal,NasVowels,0,,,chontal2004[35-36],2,2004
